Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NRUC,National Rural Utilities Cooperative Finance Corporation,26.69,n/a,2019,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/nruc
SID,National Steel Company,4.23,$5.84B,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/sid
NSA,National Storage Affiliates Trust,29.34,$1.67B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nsa
NSA^A,National Storage Affiliates Trust,25.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nsa^a
NGS,"Natural Gas Services Group, Inc.",16.06,$212.39M,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",10.12,$227.08M,2012,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/ngvc
NRP,Natural Resource Partners LP,36.85,$451.83M,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp
NTZ,"Natuzzi, S.p.A.",2.47,$27.1M,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/ntz
NLS,"Nautilus Group, Inc. (The)",2.09,$62.01M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/nls
NCI,"Navigant Consulting, Inc.",23.52,$925.43M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/nci
NVGS,Navigator Holdings Ltd.,9.68,$540.45M,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nvgs
NNA,Navios Maritime Acquisition Corporation,6.3,$86.49M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nna
NM,Navios Maritime Holdings Inc.,4.54,$58.99M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nm
NM^G,Navios Maritime Holdings Inc.,7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^g
NM^H,Navios Maritime Holdings Inc.,7.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^h
NMM,Navios Maritime Partners LP,14.3,$158.28M,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nmm
NAV,Navistar International Corporation,34.19,$3.39B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav
NAV^D,Navistar International Corporation,24.25,n/a,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav^d
NCR,NCR Corporation,31.3,$3.76B,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/ncr
NP,"Neenah, Inc.",67.08,$1.13B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/np
NNI,"Nelnet, Inc.",60.02,$2.38B,2003,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nni
NPTN,NeoPhotonics Corporation,4.37,$203.09M,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/nptn
NVRO,Nevro Corp.,63.25,$1.93B,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvro
HYB,"New America High Income Fund, Inc. (The)",8.8,$205.65M,1988,n/a,n/a,https://www.nasdaq.com/symbol/hyb
NFC,New Frontier Corporation,10.1,$408.67M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nfc
NFC.U,New Frontier Corporation,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nfc.u
NFC.WS,New Frontier Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nfc.ws
GF,"New Germany Fund, Inc. (The)",14.36,$232.76M,1990,n/a,n/a,https://www.nasdaq.com/symbol/gf
NWHM,New Home Company Inc. (The),4.67,$93.63M,2014,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nwhm
IRL,"New Ireland Fund, Inc. (The)",9.1,$45.24M,1990,n/a,n/a,https://www.nasdaq.com/symbol/irl
NEWM,New Media Investment Group Inc.,9.15,$553.85M,2014,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/newm
NMFC,New Mountain Finance Corporation,14.07,$1.13B,2011,n/a,n/a,https://www.nasdaq.com/symbol/nmfc
NMFX,New Mountain Finance Corporation,25.51,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nmfx
EDU,"New Oriental Education & Technology Group, Inc.",97.08,$15.37B,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/edu
NEWR,"New Relic, Inc.",91.38,$5.31B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/newr
NRZ,New Residential Investment Corp.,15.42,$6.41B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nrz
SNR,New Senior Investment Group Inc.,6.86,$563.96M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snr
NYCB,"New York Community Bancorp, Inc.",10.24,$4.79B,n/a,Finance,Banks,https://www.nasdaq.com/symbol/nycb
NYCB^A,"New York Community Bancorp, Inc.",26.12,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^a
NYCB^U,"New York Community Bancorp, Inc.",48.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^u
NYT,New York Times Company (The),34.19,$5.68B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nyt
NJR,NewJersey Resources Corporation,50.02,$4.46B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/njr
NEU,NewMarket Corporation,400,$4.48B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu
NEM,Newmont Goldcorp Corporation,38.76,$31.89B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nem
NR,"Newpark Resources, Inc.",7.09,$641.69M,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nr
NEXA,Nexa Resources S.A.,9.51,$1.26B,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nexa
NXRT,"NexPoint Residential Trust, Inc.",43.11,$1.02B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nxrt
NHF,NexPoint Strategic Opportunities Fund,18.97,$614.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhf
NEP,"NextEra Energy Partners, LP",49.67,$2.79B,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep
NEE,"NextEra Energy, Inc.",208.73,$99.97B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
NEE^I,"NextEra Energy, Inc.",25.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^i
NEE^J,"NextEra Energy, Inc.",25.19,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^j
NEE^K,"NextEra Energy, Inc.",26.08,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^k
NEE^N,"NextEra Energy, Inc.",26.14,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^n
NEE^R,"NextEra Energy, Inc.",66.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^r
NGL,NGL ENERGY PARTNERS LP,14.84,$1.87B,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl
NGL^B,NGL ENERGY PARTNERS LP,24.5572,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngl^b
NGL^C,NGL ENERGY PARTNERS LP,25.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngl^c
NMK^B,"Niagara Mohawk Holdings, Inc.",97.75,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^b
NMK^C,"Niagara Mohawk Holdings, Inc.",93.57,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^c
NLSN,Nielsen N.V.,22.92,$8.15B,2011,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/nlsn
NKE,"Nike, Inc.",86.2,$135.48B,n/a,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/nke
NINE,"Nine Energy Service, Inc.",15.71,$482.41M,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine
NIO,NIO Inc.,3.13,$3.29B,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nio
NI,"NiSource, Inc",29.51,$11.01B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni
NI^B,"NiSource, Inc",26.65,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni^b
NL,"NL Industries, Inc.",3.72,$181.27M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/nl
NOAH,Noah Holdings Ltd.,44.87,$2.7B,2010,Finance,Investment Managers,https://www.nasdaq.com/symbol/noah
NE,Noble Corporation,1.73,$431.04M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne
NBL,Noble Energy Inc.,22.1,$10.57B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,33.87,$1.35B,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx
NOK,Nokia Corporation,5.12,$28.67B,1994,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/nok
NOMD,Nomad Foods Limited,21.96,$4.27B,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/nomd
NMR,Nomura Holdings Inc ADR,3.56,$11.83B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nmr
OSB,Norbord Inc.,24.82,$2.03B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/osb
NAT,Nordic American Tankers Limited,2.23,$316.59M,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nat
JWN,"Nordstrom, Inc.",31.25,$4.83B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/jwn
NSC,Norfolk Souther Corporation,202.51,$53.86B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/nsc
NOA,North American Construction Group Ltd.,10.32,$281.22M,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa
NRT,North European Oil Royality Trust,7.15,$65.71M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt
NOC,Northrop Grumman Corporation,325.25,$55.23B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/noc
NRE,NorthStar Realty Europe Corp.,16.45,$827.65M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nre
NWN,Northwest Natural Holding Company,69.61,$2.02B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nwn
NWE,NorthWestern Corporation,73.39,$3.7B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nwe
NCLH,Norwegian Cruise Line Holdings Ltd.,52.76,$11.36B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh
NVS,Novartis AG,92.5,$212.22B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvs
NVO,Novo Nordisk A/S,52.28,$124.07B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvo
DNOW,NOW Inc.,14.64,$1.59B,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/dnow
NRG,"NRG Energy, Inc.",35.81,$9.57B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nrg
NUS,"Nu Skin Enterprises, Inc.",47.13,$2.62B,1996,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/nus
NUE,Nucor Corporation,55.29,$16.85B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nue
NS,Nustar Energy L.P.,27.63,$2.98B,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns
NS^A,Nustar Energy L.P.,23.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^a
NS^B,Nustar Energy L.P.,20.91,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^b
NS^C,Nustar Energy L.P.,24.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^c
